trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-103.7831486,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 0.25}",35,0,-7.872395295,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,FALSE,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-47.64116624,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
4,FALSE,"{'a': 0.5, 'e': 0.0625}",25,0,-21.99848723,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
5,FALSE,"{'a': 0.5, 'e': 0.04}",20,0,-106.7808374,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
6,FALSE,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-163.4033851,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
7,FALSE,"{'a': 0.5, 'e': 0.02040816326530612}",20,4,-53.21501974,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
8,FALSE,"{'a': 0.5, 'e': 0.015625}",20,0,-94.52124394,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,FALSE,"{'a': 0.5, 'e': 0.012345679012345678}",20,0,-61.66307065,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
10,FALSE,"{'a': 0.5, 'e': 0.01}",35,19,-55.46479246,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
11,FALSE,"{'a': 0.5, 'e': 0.008264462809917356}",30,0,-50.81671553,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
12,FALSE,"{'a': 0.5, 'e': 0.006944444444444444}",25,12,25.22483373,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,FALSE,"{'a': 0.5, 'e': 0.005917159763313609}",30,0,-86.34516093,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
14,FALSE,"{'a': 0.5, 'e': 0.00510204081632653}",25,9,-8.629434497,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,FALSE,"{'a': 0.5, 'e': 0.0044444444444444444}",30,0,-52.49753958,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,FALSE,"{'a': 0.5, 'e': 0.00390625}",20,4,-24.55425676,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,FALSE,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,14.52059925,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,FALSE,"{'a': 0.5, 'e': 0.0030864197530864196}",20,0,-100.2419818,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
19,FALSE,"{'a': 0.5, 'e': 0.002770083102493075}",20,0,-12.70935881,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,FALSE,"{'a': 0.5, 'e': 0.0025}",20,13,15.0757535,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,FALSE,"{'a': 0.5, 'e': 0.0022675736961451248}",20,0,8.44622847,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,FALSE,"{'a': 0.5, 'e': 0.002066115702479339}",25,18,-11.33348704,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,FALSE,"{'a': 0.5, 'e': 0.001890359168241966}",20,0,-15.78461128,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
24,FALSE,"{'a': 0.5, 'e': 0.001736111111111111}",20,0,-33.94306703,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
25,FALSE,"{'a': 0.5, 'e': 0.0016}",30,0,-17.53158292,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
26,FALSE,"{'a': 0.5, 'e': 0.0014792899408284023}",20,0,29.1925697,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,FALSE,"{'a': 0.5, 'e': 0.0013717421124828531}",20,10,-25.08921215,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
28,FALSE,"{'a': 0.5, 'e': 0.0012755102040816326}",30,0,-115.9158411,"{0: 23, 1: 2, 2: 1, 3: 2, 4: 2}",0
29,FALSE,"{'a': 0.5, 'e': 0.0011890606420927466}",30,0,23.8032035,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
30,FALSE,"{'a': 0.5, 'e': 0.0011111111111111111}",20,6,6.987839816,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,FALSE,"{'a': 0.5, 'e': 0.001040582726326743}",30,16,-2.790066736,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,FALSE,"{'a': 0.5, 'e': 0.0009765625}",30,10,5.730114508,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,FALSE,"{'a': 0.5, 'e': 0.0009182736455463728}",25,0,-14.96872075,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
34,FALSE,"{'a': 0.5, 'e': 0.0008650519031141869}",25,0,-17.82522429,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
35,FALSE,"{'a': 0.5, 'e': 0.0008163265306122449}",20,16,9.535654748,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,FALSE,"{'a': 0.5, 'e': 0.0007716049382716049}",20,0,31.73868741,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,FALSE,"{'a': 0.5, 'e': 0.0007304601899196494}",20,0,20.86495327,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,FALSE,"{'a': 0.5, 'e': 0.0006925207756232687}",20,8,-11.2967369,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
39,FALSE,"{'a': 0.5, 'e': 0.0006574621959237344}",35,0,-23.95898058,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",0
40,FALSE,"{'a': 0.5, 'e': 0.000625}",25,0,29.74152693,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
41,FALSE,"{'a': 0.5, 'e': 0.000594883997620464}",30,8,-19.86754584,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,FALSE,"{'a': 0.5, 'e': 0.0005668934240362812}",20,0,-36.77454425,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
43,FALSE,"{'a': 0.5, 'e': 0.0005408328826392645}",30,5,4.157692179,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,FALSE,"{'a': 0.5, 'e': 0.0005165289256198347}",20,0,-47.68623096,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
45,FALSE,"{'a': 0.5, 'e': 0.0004938271604938272}",35,16,26.02049481,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0, 'e': 0}",25,11,13.20502822,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 0}",30,0,-34.08828507,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
3,TRUE,"{'a': 0, 'e': 0}",20,16,7.994053342,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
