trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.13541032362646,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.46680948987405,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.75330275430403,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.71728276465922,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.17325132234157,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.84837156230548,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.75197326473284,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-26.43581665068892,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.10381555469856,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.2955213659644,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.04647511971449,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.68898659038157,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,3,-91.55135695863842,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.23093229589742,"{0: 9, 1: 1, 2: 11, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.753788182477784,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.36019646961574,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-263.14824155327386,"{0: 19, 1: 2, 2: 8, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-115.9742683133502,"{0: 21, 1: 6, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.79391279511003,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.53198895740647,"{0: 9, 1: 2, 2: 10, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.55895917457289,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.56098294128486,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,13,-182.94823584638743,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 3}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.46747515350043,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-187.25769814449123,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-130.01001582576032,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.05063215320519,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.03026301291895,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-251.44338477867774,"{0: 12, 1: 3, 2: 9, 3: 4, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.43879815501046,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
