trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 4.0}",25,0,-116.76528217870855,"{0: 13, 1: 0, 2: 11, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,3,-189.1299106913379,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 4}",1
3,False,"{'a': 0.5, 'e': 0.4444444444444444}",20,0,-46.32264982245995,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.25}",30,0,-138.61359796536408,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.16}",20,6,22.700424481628374,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-57.481008201273674,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.08163265306122448}",20,1,-7.036282128386787,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.0625}",20,0,-152.10092339481838,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.04938271604938271}",20,14,-10.198961205022515,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.04}",25,15,-7.51720474730924,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.03305785123966942}",20,0,10.696829838747277,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,7.615865401420566,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.023668639053254437}",25,0,13.659907465832948,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-53.89490850232471,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.017777777777777778}",20,0,-39.63823410611617,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.015625}",25,0,-15.769507793867994,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.01384083044982699}",30,0,-73.09669214569466,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,11,11.69063921946935,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.0110803324099723}",20,0,-23.636199362479882,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.01}",25,14,17.032270813997453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.009070294784580499}",20,9,-18.376824823991083,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,3,-11.179391613237485,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.007561436672967864}",20,0,-13.570073294482864,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,0,-30.417148202349136,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0064}",25,0,19.70474448417127,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-44.40870635429857,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.0054869684499314125}",20,5,3.878493859094492,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,0,11.539788004674968,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.0047562425683709865}",25,4,28.320369025314413,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,0,28.540542406982855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.004162330905306972}",20,0,-36.484614208884636,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
